Filename,No,Classname,ClassId
data001.wav,1,1,1
data002.wav,2,7,4
data003.wav,3,2,2
data004.wav,4,7,4
data005.wav,5,1,1
data006.wav,6,2,2
data008.wav,8,1,1
data009.wav,9,1,1
data010.wav,10,1,1
data011.wav,11,7,4
data012.wav,12,1,1
data013.wav,13,1*,3
data014.wav,14,1,1
data015.wav,15,2,2
data016.wav,16,2,2
data017.wav,17,7,4
data018.wav,18,1,1
data019.wav,19,1,1
data020.wav,20,1,1
data022.wav,22,7,4
data023.wav,23,1,1
data024.wav,24,1,1
data025.wav,25,1,1
data026.wav,26,1,1
data027.wav,27,1,1
data028.wav,28,1,1
data029.wav,29,1,1
data030.wav,30,2,2
data031.wav,31,1*,3
data032.wav,32,1,1
data033.wav,33,7,4
data034.wav,34,1*,3
data035.wav,35,1,1
data036.wav,36,1,1
data037.wav,37,1,1
data038.wav,38,1,1
data039.wav,39,2,2
data040.wav,40,1,1
data041.wav,41,1*,3
data042.wav,42,1,1
data043.wav,43,1,1
data044.wav,44,1,1
data045.wav,45,7,4
data046.wav,46,1,1
data047.wav,47,2,2
data048.wav,48,1,1
data049.wav,49,2,2
data050.wav,50,1,1
data051.wav,51,1*,3
data052.wav,52,1*,3
data053.wav,53,1*,3
data054.wav,54,1,1
data055.wav,55,2,2
data056.wav,56,1,1
data057.wav,57,2,2
data058.wav,58,7,4
data059.wav,59,7,4
data060.wav,60,1,1
data061.wav,61,7,4
data062.wav,62,1*,3
data063.wav,63,2,2
data064.wav,64,7,4
data065.wav,65,1,1
data066.wav,66,2,2
data067.wav,67,1,1
data068.wav,68,1,1
data069.wav,69,1,1
data070.wav,70,2,2
data071.wav,71,1,1
data072.wav,72,2,2
data073.wav,73,1,1
data074.wav,74,2,2
data075.wav,75,1,1
data076.wav,76,2,2
data077.wav,77,2,2
data078.wav,78,1,1
data079.wav,79,1,1
data080.wav,80,1,1
data081.wav,81,0,0
data082.wav,82,0,0
data083.wav,83,0,0
data084.wav,84,0,0
data085.wav,85,0,0
data086.wav,86,0,0
data087.wav,87,0,0
data088.wav,88,0,0
data089.wav,89,0,0
data090.wav,90,0,0
data091.wav,91,0,0
data092.wav,92,0,0
data093.wav,93,0,0
data094.wav,94,0,0
data095.wav,95,0,0
data096.wav,96,0,0
data097.wav,97,0,0
data098.wav,98,0,0
data099.wav,99,0,0
data100.wav,100,0,0
data101.wav,101,7,4
data102.wav,102,7,4
data103.wav,103,7,4
data104.wav,104,7,4
data105.wav,105,7,4
data106.wav,106,7,4
data107.wav,107,7,4
data108.wav,108,7,4
data109.wav,109,7,4
data110.wav,110,7,4
data111.wav,111,7,4
data112.wav,112,7,4
data113.wav,113,7,4
data114.wav,114,7,4
data115.wav,115,7,4
data116.wav,116,7,4
data117.wav,117,7,4
data118.wav,118,7,4
data119.wav,119,7,4
data120.wav,120,7,4
data121.wav,121,7,4
data122.wav,122,7,4
data123.wav,123,7,4
data124.wav,124,7,4
data125.wav,125,7,4
data126.wav,126,7,4
data127.wav,127,7,4
data128.wav,128,7,4
data129.wav,129,7,4
data130.wav,130,7,4
data131.wav,131,7,4
data132.wav,132,7,4
data133.wav,133,7,4
data134.wav,134,2,2
data135.wav,135,2,2
data136.wav,136,2,2
data137.wav,137,2,2
data138.wav,138,2,2
data139.wav,139,2,2
data140.wav,140,2,2
data141.wav,141,2,2
data142.wav,142,2,2
data143.wav,143,2,2
data144.wav,144,2,2
data145.wav,145,2,2
data146.wav,146,2,2
data147.wav,147,2,2
data148.wav,148,2,2
data149.wav,149,2,2
data150.wav,150,2,2
data151.wav,151,2,2
data152.wav,152,2,2
data153.wav,153,2,2
data154.wav,154,2,2
data155.wav,155,2,2
data156.wav,156,2,2
data157.wav,157,2,2
data158.wav,158,2,2
data159.wav,159,0,0
data160.wav,160,0,0
data161.wav,161,0,0
data162.wav,162,0,0
data163.wav,163,0,0
data164.wav,164,0,0
data165.wav,165,0,0
data166.wav,166,0,0
data167.wav,167,0,0
data168.wav,168,0,0
data169.wav,169,0,0
data170.wav,170,0,0
data171.wav,171,0,0
data172.wav,172,0,0
data173.wav,173,0,0
data174.wav,174,0,0
data175.wav,175,0,0
data176.wav,176,0,0
data177.wav,177,0,0
data178.wav,178,0,0
data179.wav,179,0,0
data180.wav,180,0,0
data181.wav,181,1*,3
data182.wav,182,1*,3
data183.wav,183,1*,3
data184.wav,184,1*,3
data185.wav,185,1*,3
data186.wav,186,1*,3
data187.wav,187,1*,3
data188.wav,188,1*,3
data189.wav,189,1*,3
data190.wav,190,1*,3
data191.wav,191,1*,3
data192.wav,192,1*,3
data193.wav,193,1*,3
data194.wav,194,1*,3
data195.wav,195,1*,3
data196.wav,196,1*,3
data197.wav,197,1*,3
data198.wav,198,1*,3
data199.wav,199,1*,3
data200.wav,200,1*,3
data201.wav,201,1*,3
data202.wav,202,1*,3
data203.wav,203,1*,3
data204.wav,204,1*,3
data205.wav,205,1*,3
data206.wav,206,1*,3
data207.wav,207,1*,3
data208.wav,208,1*,3
data209.wav,209,1*,3
data210.wav,210,1*,3
data211.wav,211,1*,3
data212.wav,212,1*,3
data213.wav,213,1*,3
data214.wav,214,1*,3